timestamp,throotleangle
1529837717,00.0
1529837718,00.0
1529837719,00.0
1529837720,00.0
1529837721,00.0
1529837722,00.0
1529837723,00.0
1529837724,00.0
1529837725,00.0
1529837726,00.0
1529837727,00.0
1529837728,00.0
1529837729,00.0
1529837730,3.7
1529837731,3.7
1529837732,3.96
1529837733,39.6
1529837734,5.02
1529837735,5.02
1529837736,6.08
1529837737,6.08
1529837738,6.08
1529837739,6.08
1529837740,7.92
1529837741,8.98
1529837742,9.25
1529837743,9.25
1529837744,9.25
1529837745,12.68
1529837746,12.68
1529837747,13.47
1529837748,13.74
1529837749,13.74
1529837750,18.23
1529837751,18.23
1529837752,19.55
1529837753,19.55
1529837754,19.81
1529837755,22.45
1529837756,23.51
1529837757,24.30
1529837758,24.30
1529837759,25.36
1529837760,25.36
1529837761,29.32
1529837762,29.32
1529837763,29.59
1529837764,29.59
1529837765,31.43
1529837766,34.87
1529837767,38.30
1529837768,39.36
1529837769,39.36
1529837770,39.89
1529837771,42.79
1529837772,43.59
1529837773,43.59
1529837774,43.85
1529837775,44.11
1529837776,44.91
1529837777,45.96
1529837778,45.96
1529837779,47.81
1529837780,47.81
1529837781,47.81
1529837782,47.81
1529837783,47.81
1529837784,49.66
1529837785,50.45
1529837786,50.45
1529837787,50.45
1529837788,50.45
1529837789,52.83
1529837790,53.89
1529837791,53.89
1529837792,55.47
1529837793,55.47
1529837794,58.38
1529837795,58.38
1529837796,60.49
1529837797,60.76
1529837798,60.76
1529837799,60.76
1529837800,62.87
1529837801,65.25
1529837802,67.10
1529837803,68.15
1529837804,68.42
1529837805,68.42
1529837806,70.00
1529837807,74.49
1529837808,77.14
1529837809,77.14
1529837810,77.14
1529837811,77.14
1529837812,77.14
1529837813,77.14
1529837814,80.04
1529837815,81.36
1529837816,81.89
1529837817,81.89
1529837818,81.89
1529837819,83.47
1529837820,84.00
1529837821,84.00
1529837822,84.00
1529837823,84.00
1529837824,84.00
1529837825,84.00
1529837826,84.00
1529837827,84.00
1529837828,63.27
1529837829,63.27
1529837830,46.10
1529837831,29.32
1529837832,14.79
1529837833,00.0
1529837834,00.0
1529837835,00.0
1529837836,00.0
1529837837,00.0
1529837838,00.0
1529837839,00.0